name,channel,section,frame,EndNodes_1,EndNodes_2,node_Idx_1,node_Idx_2,Name,Type,Weight,Original,Original_cv,Intensity,Intensity_cv,Gradient,Gradient_cv,Width_initial,Width_initial_cv,Width_intact,Length,Number,Midpoint,Tortuosity,Distance,Width,Width_cv,Area,Volume,Resistance_2,Resistance_4,Resistance_2ave,Resistance_4ave,Or_ij,Or_ji,Region,Route_factor,Accessibility,Accessibility_ratio,Betweenness,cord_Rank,cord_Disconnected,cord_meanDisconnect,spatial_Disconnected,spatial_meanDisconnect,Ai,Aj
DF56(6)_t09,1,1,1,1,22,1958354,4812224,1,E,166.9188385,0.937696099,0.224919885,0.943300664,0.212871224,192.8999939,0.239416987,5.280439377,0.213512167,1,272.9655762,240,3367239,1.085584044,4760.330078,5.280439377,0.213512167,21.89928818,5977.751953,166.9188385,1893.814819,99.71669006,14.30499649,-13.92096036,155.3764352,8948.431203,1.097268105,0.001403482,6.681035519,5278,7,1,2,10,11,0,0
DF56(6)_t09,1,1,1,2,9,3063536,4388249,2,E,12.8809557,0.865243495,0.138497904,0.997090518,0.008162155,187.3387146,0.128389969,5.557915688,0.018315593,1,156.137085,124,3653653,1.083945513,4516.768066,5.557915688,0.018315593,24.26128387,3788.086182,12.8809557,0.417903453,51.48518372,6.666814327,50.29008121,-150.8657078,6470.606565,1.278658867,0.001928557,8.71084404,5278,1,1,2,5,6,0,0
DF56(6)_t09,1,1,1,3,38,3568834,5519632,3,E,14.95123196,0.980584621,0.055219844,1,0,210.0736237,0.073426977,5.591682434,0.00617045,1,183.5391388,163,4544247,1.132181406,4576.652832,5.591682434,0.00617045,24.55697632,4507.166504,14.95123196,0.478361368,59.79209518,7.649249077,7.733598099,168.1469958,7926.532712,1.231696963,0.001949328,8.921395302,5278,4,1,2,1,2,0,0
DF56(6)_t09,1,1,1,4,17,3786194,4725461,4,E,9.968187332,0.85985297,0.151517943,0.923235297,0.150480151,148.9125061,0.217833534,5.116210461,0.157595724,1,90.59797668,80,4255842,1.153856874,4452.286133,5.116210461,0.157595724,20.55827522,1862.538086,9.968187332,0.525331497,35.25508881,5.387471199,14.38139459,154.025606,3484.777771,1.277724743,0.001951909,8.69045639,5278,20,1,2,5,6,0,0
DF56(6)_t09,1,1,1,5,29,3993255,5077072,5,E,11.85337257,0.812023282,0.118285954,0.925145388,0.097029328,136.6593475,0.137652308,4.915565491,0.10920611,1,110.2964478,91,4535176,1.133468509,4624.813477,4.915565491,0.10920611,18.97740746,2093.140625,11.85337257,0.526499748,46.49589539,7.697109699,34.56252465,-172.4053566,3070.697379,1.102111816,0.001585094,7.330765247,5278,9,2,3,10,11,0,0
DF56(6)_t09,1,1,1,6,40,4233927,5630864,6,E,29.20979881,0.896903217,0.213353664,0.927653849,0.224897847,154.5724182,0.261488706,5.059992313,0.229528204,1,160.9827728,145,4884222,1.21067059,4543.26416,5.059992313,0.229528204,20.1089592,3237.196045,29.20979881,9.900359154,64.04419708,10.0055294,26.56505118,-148.4957333,4731.054969,1.113585114,0.001577192,7.165598869,5278,16,2,3,1,2,0,0
DF56(6)_t09,1,1,1,7,10,4291606,4412010,7,E,3.75137639,0.663898468,0.223787785,0.731487811,0.169151783,103.8235321,0.164876908,3.844590664,0.166236728,1,20.14213371,17,4351808,1.06753099,4525.619629,3.844590664,0.166236728,11.60887337,233.8274841,3.75137639,0.304503828,13.88050842,3.756342173,-57.99461679,122.0053832,709.4085811,1.231770277,0.001964361,8.889951706,5278,10,1,2,1,2,0,0
DF56(6)_t09,1,1,1,8,22,4294480,4812224,8,E,21.27672577,0.790013134,0.256488919,0.807633996,0.322202384,127.1066666,0.366944671,4.341720581,0.341921836,1,87.66903687,75,4619587,1.161918402,4661.628906,4.289292336,0.347936392,14.44977856,1266.798218,21.27672577,5.025931835,48.53723526,10.55270481,-45,117.9794744,2226.763337,1.099614263,0.00156325,7.287293434,5278,15,1,2,10,11,0,0
DF56(6)_t09,1,1,1,9,17,4388249,4725461,1821,E,4.746983528,0.932094991,0.087916121,0.927967072,0.085836627,135.1842041,0.115111887,5.035449505,0.094297573,1,48.18377686,38,4508687,1.056499243,4436.288086,5.004695415,0.093689874,19.6718483,947.8639526,4.746983528,0.202649251,19.59501839,3.129322529,60.9453959,-135,1028.806298,1.278793573,0.001961906,8.703579903,10550,4,1,2,5,6,0,0
DF56(6)_t09,1,1,1,9,31,4388249,5134870,1822,E,10.60326099,0.875319004,0.1926101,0.864363551,0.246543914,143.9841309,0.318446666,4.715860844,0.252989054,1,69.04161835,63,4761555,1.073935628,4419.816406,4.700013161,0.257328928,17.34954262,1197.840454,10.60326099,1.155725121,31.83559036,5.764674187,7.853313302,-157.2490237,1440.213256,1.282250881,0.001956289,8.646438599,4,13,1,2,5,6,0,0
DF56(6)_t09,1,1,1,10,18,4412010,4737145,1823,E,86.32524872,0.478291422,0.406445563,0.327731103,0.779922068,48.2142868,0.731236637,1.774706006,0.773183644,1,27.41421318,28,4568556,1.014645576,4509.879883,1.454215646,0.774367332,1.660915494,45.53269196,86.32524872,212.9650726,132.043869,249.7587128,0,-175.2363583,140.4156396,1.231522679,0.001955952,8.821107864,0,2,1,2,1,2,0,0
DF56(6)_t09,1,1,1,10,20,4412010,4773245,1824,E,4.128700733,0.979956508,0.044416472,0.993899763,0.020614957,172,0.121424221,5.471711636,0.041167878,1,48.55634689,45,4508325,1.243400693,4517.40625,5.471711636,0.041167878,23.51453018,1141.779663,4.128700733,0.138823748,16.51960564,2.207055807,-69.14554196,169.6951535,1511.300722,1.227944851,0.001979683,8.943033218,10554,11,1,2,1,2,0,0
DF56(6)_t09,1,1,1,11,12,4472792,4508920,9,E,1.502739668,0.475490212,0.339273959,0.468627453,0.209539503,67.75,0.198165625,2.572843313,0.187919483,1,3.828427315,4,4484834,1.061814666,4401.291992,2.572843313,0.187919483,5.198960781,19.90384293,1.502739668,0.245203659,5.891065598,3.559812784,0,-135,251.5787397,1.29029274,0.001800816,7.925916672,5278,17,1,2,7,8,0,0
DF56(6)_t09,1,1,1,12,13,4508920,4520962,1826,E,0.237235412,0.68235296,0.04876598,0.619607866,0.071605742,88.5,0.071909167,3.276274681,0.055099219,1,1,2,4508920,1,4399.137695,3.276274681,0.055099219,8.430444717,8.430444717,0.237235412,0.022101354,0.948941648,0.353621662,0,180,,1.290365458,0.001803642,7.934468269,10554,1,1,2,7,8,0,0
DF56(6)_t09,1,1,1,12,14,4508920,4545046,1825,E,46.81896973,0.358683497,0.47618252,0.341736704,0.52572751,50.1428566,0.493981153,1.882646918,0.512951493,1,28.65685272,28,4520974,9.552284241,4397.295898,1.615261555,0.462883949,2.049158573,58.722435,46.81896973,58.56732941,111.8775406,171.5209503,84.80557109,108.4349488,258.29682,1.290428638,0.001804281,7.93395853,0,13,1,2,7,8,0,0
